,id,title,author,genre,tag,platform,age,rate,complete,free,website
85,85,"그 남자, 운명이니까",키타가와 미유키,로맨스,#로맨스#연애#상사#오피스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/palm_and_fate
86,86,나팔꽃과 카세 씨,타카시마 히로미,백합,#백합,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/morningglory_kasae
87,87,"위황후, 궐을 쓰다 [연재]","구아, 명패",로맨스,#로맨스#환생#궁정물#동양풍#시대극,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/weiempress
88,88,최애에게 들켜버렸다 [연재],레벨,로맨스,#로맨스#덕후#현대물#귀여움#연예인,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/my_favorite_caught_me
89,89,나의 마녀,"해윤, Mas",로맨스,#로맨스#첫사랑#환생#마녀#판타지,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/my_witch
90,90,음란한 소꿉장난[개정판],"누끼, 양과람",로맨스,#현대물#첫사랑#친구>연인#소꿉친구#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/obscene_houseplay_15
91,91,첫사랑에게 [연재],"리세, 유송주",로맨스,#소설원작#학원#로맨스#첫사랑,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/dear_first_love
92,92,그대 마음 한 스푼 [연재],"JB, STEM, 서경",로맨스,#로맨스#소설원작#일편단심#사내연애#비서,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/spoonful_of_your_heart
93,93,685일,새얀,로맨스,#일편단심#친구>연인#썸#고등학교#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/685
94,94,살리에르 앤 모차르트,"김수오, 기밥",백합,#백합#여고#성장물#우정,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/salieri_and_mozart
95,95,오늘부터 너의 닌자,스즈키 줄리에타,로맨스,#학원#로맨스#계약관계#고등학교,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/ninkoi
96,96,면사포를 쓰고픈 남자,스트,로맨스,#로맨스,레진코믹스,0,null,연재중,유료,https://www.lezhin.com/ko/comic/man_in_a_veil
97,97,망고의 뼈,"골드키위새, 넋부자들",로맨스,#연애#우정#쌍둥이#고등학교#로맨스,레진코믹스,15,null,연재중,유료,https://www.lezhin.com/ko/comic/mangoseed
